provider,model,strategy,question_id,n_languages,avg_language_similarity,unspecific_diversity
groq,llama-3.1-8b-instant,prefix_suffix,1,5,0.7707952857017517,0.2292047142982483
groq,llama-3.1-8b-instant,prefix_suffix,10,5,0.755652129650116,0.24434787034988403
groq,llama-3.1-8b-instant,prefix_suffix,100,5,0.9259721636772156,0.07402783632278442
groq,llama-3.1-8b-instant,prefix_suffix,101,5,0.7979315519332886,0.20206844806671143
groq,llama-3.1-8b-instant,prefix_suffix,11,5,0.8741388320922852,0.12586116790771484
groq,llama-3.1-8b-instant,prefix_suffix,12,5,0.8231148719787598,0.17688512802124023
groq,llama-3.1-8b-instant,prefix_suffix,13,5,0.7765425443649292,0.2234574556350708
groq,llama-3.1-8b-instant,prefix_suffix,14,5,0.7877352833747864,0.21226471662521362
groq,llama-3.1-8b-instant,prefix_suffix,15,5,0.724165141582489,0.275834858417511
groq,llama-3.1-8b-instant,prefix_suffix,16,5,0.642612874507904,0.35738712549209595
groq,llama-3.1-8b-instant,prefix_suffix,17,5,0.6974102854728699,0.3025897145271301
groq,llama-3.1-8b-instant,prefix_suffix,18,5,0.7375254034996033,0.26247459650039673
groq,llama-3.1-8b-instant,prefix_suffix,19,5,0.7613585591316223,0.23864144086837769
groq,llama-3.1-8b-instant,prefix_suffix,2,5,0.6555733680725098,0.34442663192749023
groq,llama-3.1-8b-instant,prefix_suffix,20,5,0.7372453808784485,0.2627546191215515
groq,llama-3.1-8b-instant,prefix_suffix,21,5,0.805077075958252,0.19492292404174805
groq,llama-3.1-8b-instant,prefix_suffix,22,5,0.7431203126907349,0.25687968730926514
groq,llama-3.1-8b-instant,prefix_suffix,23,5,0.6150180101394653,0.38498198986053467
groq,llama-3.1-8b-instant,prefix_suffix,24,5,0.6470113396644592,0.35298866033554077
groq,llama-3.1-8b-instant,prefix_suffix,25,5,0.7629716396331787,0.2370283603668213
groq,llama-3.1-8b-instant,prefix_suffix,26,5,0.7338534593582153,0.26614654064178467
groq,llama-3.1-8b-instant,prefix_suffix,27,5,0.6340397596359253,0.3659602403640747
groq,llama-3.1-8b-instant,prefix_suffix,28,5,0.7395035028457642,0.26049649715423584
groq,llama-3.1-8b-instant,prefix_suffix,29,5,0.7014155983924866,0.2985844016075134
groq,llama-3.1-8b-instant,prefix_suffix,3,5,0.6141030788421631,0.3858969211578369
groq,llama-3.1-8b-instant,prefix_suffix,30,5,0.6247333288192749,0.3752666711807251
groq,llama-3.1-8b-instant,prefix_suffix,31,5,0.612931489944458,0.387068510055542
groq,llama-3.1-8b-instant,prefix_suffix,32,5,0.7909762859344482,0.20902371406555176
groq,llama-3.1-8b-instant,prefix_suffix,33,5,0.7564665079116821,0.24353349208831787
groq,llama-3.1-8b-instant,prefix_suffix,34,5,0.8163665533065796,0.1836334466934204
groq,llama-3.1-8b-instant,prefix_suffix,35,5,0.8838585019111633,0.11614149808883667
groq,llama-3.1-8b-instant,prefix_suffix,36,5,0.7308973073959351,0.26910269260406494
groq,llama-3.1-8b-instant,prefix_suffix,37,5,0.7389331459999084,0.26106685400009155
groq,llama-3.1-8b-instant,prefix_suffix,38,5,0.7226358652114868,0.2773641347885132
groq,llama-3.1-8b-instant,prefix_suffix,39,5,0.708229124546051,0.291770875453949
groq,llama-3.1-8b-instant,prefix_suffix,4,5,0.6528622508049011,0.3471377491950989
groq,llama-3.1-8b-instant,prefix_suffix,40,5,0.7591677904129028,0.24083220958709717
groq,llama-3.1-8b-instant,prefix_suffix,41,5,0.7024198770523071,0.29758012294769287
groq,llama-3.1-8b-instant,prefix_suffix,42,5,0.8702336549758911,0.1297663450241089
groq,llama-3.1-8b-instant,prefix_suffix,43,5,0.8414605259895325,0.15853947401046753
groq,llama-3.1-8b-instant,prefix_suffix,44,5,0.7728373408317566,0.2271626591682434
groq,llama-3.1-8b-instant,prefix_suffix,45,5,0.7504680156707764,0.24953198432922363
groq,llama-3.1-8b-instant,prefix_suffix,46,5,0.7541841864585876,0.24581581354141235
groq,llama-3.1-8b-instant,prefix_suffix,47,5,0.6544735431671143,0.34552645683288574
groq,llama-3.1-8b-instant,prefix_suffix,48,5,0.7208994626998901,0.27910053730010986
groq,llama-3.1-8b-instant,prefix_suffix,49,5,0.7307400703430176,0.2692599296569824
groq,llama-3.1-8b-instant,prefix_suffix,5,5,0.7557323575019836,0.24426764249801636
groq,llama-3.1-8b-instant,prefix_suffix,50,5,0.8378788828849792,0.16212111711502075
groq,llama-3.1-8b-instant,prefix_suffix,51,5,0.6895908117294312,0.31040918827056885
groq,llama-3.1-8b-instant,prefix_suffix,52,5,0.7677884697914124,0.23221153020858765
groq,llama-3.1-8b-instant,prefix_suffix,53,5,0.7705377340316772,0.22946226596832275
groq,llama-3.1-8b-instant,prefix_suffix,54,5,0.8208162188529968,0.17918378114700317
groq,llama-3.1-8b-instant,prefix_suffix,55,5,0.7635090351104736,0.23649096488952637
groq,llama-3.1-8b-instant,prefix_suffix,56,5,0.8611811399459839,0.1388188600540161
groq,llama-3.1-8b-instant,prefix_suffix,57,5,0.7870632410049438,0.21293675899505615
groq,llama-3.1-8b-instant,prefix_suffix,58,5,0.8399389386177063,0.1600610613822937
groq,llama-3.1-8b-instant,prefix_suffix,59,5,0.8582984209060669,0.1417015790939331
groq,llama-3.1-8b-instant,prefix_suffix,6,5,0.7827181816101074,0.21728181838989258
groq,llama-3.1-8b-instant,prefix_suffix,60,5,0.6538592576980591,0.3461407423019409
groq,llama-3.1-8b-instant,prefix_suffix,61,5,0.7647712230682373,0.2352287769317627
groq,llama-3.1-8b-instant,prefix_suffix,62,5,0.5395370721817017,0.46046292781829834
groq,llama-3.1-8b-instant,prefix_suffix,63,5,0.8455971479415894,0.15440285205841064
groq,llama-3.1-8b-instant,prefix_suffix,64,5,0.7753903269767761,0.22460967302322388
